"IMG_ANL_GROUP_CD","IMG_ANL_ITEM_CD","DISPLAY_ORDER","CREATE_DT","CREATE_BY","CREATE_PG","UPDATE_DT","UPDATE_BY","UPDATE_PG","COORDINATION_FLG","INDEX_NO","SUPPLEMENTARY_INFO_FLG","DELETE_FLG"
"0000000002","0000001012",56,2023/07/21 15:41:00,"hand","hand",2023/09/20 10:16:18,"807011","AnlGroupInput","0",11,"0","0"
"0000000002","0000001013",33,2023/07/21 15:39:00,"hand","hand",2023/09/20 9:51:42,"807011","AnlGroupInput","0",11,"0","0"
"0000000002","0000001014",2,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:28,"807011","AnlGroupInput","0",2,"1","0"
"0000000002","0000001015",54,2023/07/21 15:41:00,"hand","hand",2023/09/20 10:01:56,"807011","AnlGroupInput","0",111,"0","0"
"0000000002","0000001016",57,2023/07/21 15:39:00,"hand","hand",2023/09/20 10:16:18,"807011","AnlGroupInput","0",11,"0","0"
"0000000002","0000001017",4,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:28,"807011","AnlGroupInput","1",66,"0","0"
"0000000002","0000001018",55,2023/07/21 15:41:00,"hand","hand",2023/09/20 10:01:56,"807011","AnlGroupInput","0",111,"0","0"
"0000000002","0000001019",29,2023/07/21 15:39:00,"hand","hand",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001020",30,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001021",6,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:28,"807011","AnlGroupInput","0",3,"1","0"
"0000000002","0000001022",31,2023/07/21 15:39:00,"hand","hand",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001023",7,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:28,"807011","AnlGroupInput","0",2,"0","0"
"0000000002","0000001024",8,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:28,"807011","AnlGroupInput","0",3,"1","0"
"0000000002","0000001025",9,2023/07/21 15:39:00,"hand","hand",2023/09/20 9:51:29,"807011","AnlGroupInput","0",1,"1","0"
"0000000002","0000001026",10,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:29,"807011","AnlGroupInput","0",2,"1","0"
"0000000002","0000001027",11,2023/07/21 15:41:00,"hand","hand",2023/09/20 9:51:29,"807011","AnlGroupInput","0",2,"1","0"
"0000000002","0000001203",52,2023/09/12 10:04:18,"807011","AnlGroupInput",2023/09/20 9:56:16,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001204",23,2023/09/12 9:28:15,"807011","AnlGroupInput",2023/09/20 9:51:30,"807011","AnlGroupInput","0",123,"0","0"
"0000000002","0000001205",24,2023/09/12 10:04:18,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001206",32,2023/09/12 10:43:26,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001207",26,2023/09/12 10:38:10,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001209",27,2023/09/12 10:38:10,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001210",28,2023/09/12 10:38:10,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001211",25,2023/09/12 10:27:53,"807011","AnlGroupInput",2023/09/20 9:51:42,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001212",53,2023/09/12 10:43:26,"807011","AnlGroupInput",2023/09/20 9:56:16,"807011","AnlGroupInput","0",,"0","0"
"0000000002","0000001213",51,2023/09/20 9:53:11,"807011","AnlGroupInput",2023/09/20 9:53:11,"807011","AnlGroupInput","0",,"0","0"
