"MS_STATION","MS_LINE","MS_KOTEI","MS_ST_NAME","MS_SIJI_LVL","MS_KOTEI_SEQ","MS_PATURN","MS_KATA_KBN","MS_D_SERV","MS_D_TUKINO","MS_D_YOKUSI","MS_D_GATUDO","MS_D_RENBAN","MS_D_EDABAN","MS_D_IDNO","MS_D_YMD","MS_D_END","MS_U_SERV","MS_U_TUKINO","MS_U_YOKUSI","MS_U_GATUDO","MS_U_RENBAN","MS_U_EDABAN","MS_U_IDNO","MS_U_YMD","MS_U_END","MS_H_SERV","MS_H_TUKINO","MS_H_YOKUSI","MS_H_GATUDO","MS_H_RENBAN","MS_H_EDABAN","MS_H_IDNO","MS_H_YMD","MS_H_END","MS_U2_SERV","MS_U2_TUKINO","MS_U2_YOKUSI","MS_U2_GATUDO","MS_U2_RENBAN","MS_U2_EDABAN","MS_U2_IDNO","MS_U2_YMD","MS_U2_END","MS_PROC_FLG","MS_PROC_CODE","MS_PRE_STATION","MS_PASS","MS_PICK","MS_GROUP_C","MS_KIND","MS_KIND_NAME","MS_OUTSIDE","MS_INS_YMD","MS_UPD_YMD"
"307270","003070","HK12","ES03:新八景島12","3",1,"10","2"," ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","PowerEdge4600","20201008154","1","202010",8154,0,1558484,2020/10/13 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ",0,"MS_C350N","122201",822,822,"          ","2","NEWPICK","0",2017/10/02 0:00:00,2020/10/13 0:00:00
"307272","003070","HK14","ES03:新八景島14","3",1,"10","2","作業指示サーバ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","作業指示サーバ","20201008155","1","202010",8155,0,1558344,2020/10/13 0:00:00,"0","基幹サーバ"," ","1","999999",0,0,9999999,1999/12/31 0:00:00,"0"," "," "," ","      ",0,0,0,2008/12/22 0:00:00," ",0,"MS_C350N","122201",823,823,"NONGROUP  ","2","NEWPICK","0",2017/10/02 0:00:00,2020/10/13 0:00:00
"307275","003070","MT2","ES03:新松島2","3",1,"10","2"," ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","PowerEdge4600","20201008154","1","202010",8154,0,1558716,2020/10/13 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ",0,"MS_C350N","122201",822,822,"          ","2","NEWPICK","0",2017/10/02 0:00:00,2020/10/13 0:00:00
"307276","003070","MT3","ES03:新松島3","3",1,"10","2","作業指示サーバ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","作業指示サーバ","20201008154","1","202010",8154,0,1559201,2020/10/13 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1999/12/31 0:00:00,"0"," "," "," ","      ",0,0,0,2010/04/19 0:00:00," ",0,"MS_C350N","122201",822,822,"NONGROUP  ","2","NEWPICK","0",2017/10/02 0:00:00,2020/10/13 0:00:00
"307277","003070","MT4","ES03:新松島4","3",1,"10","2","作業指示サーバ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","作業指示サーバ","20201008154","1","202010",8154,0,1559984,2020/10/13 0:00:00,"0","基幹サーバ","99999900000","1","999999",0,0,9999999,1999/12/31 0:00:00,"0"," "," "," ","      ",0,0,0,2010/04/19 0:00:00," ",0,"MS_C350N","122201",822,822,"NONGROUP  ","2","NEWPICK","0",2017/10/02 0:00:00,2020/10/13 0:00:00
"307281","003070","油圧","ES07:新油圧ﾎﾟﾝﾌﾟ1","7",1,"10","2","作業指示サーバ","20201075259",0,"202010",75259,0,"1562780",2020/10/14 0:00:00,"0","作業指示サーバ","20201000378","1","202010",378,0,1560113,2020/10/13 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2015/02/04 0:00:00," ","MP5600","           ","1"," ",0,0,0,2015/02/04 0:00:00," ",0,"MS_C300C",,30,30,"          ","2","NEWPICK","0",2017/10/06 0:00:00,2020/10/14 0:00:00
"307282","003070","ﾀｰﾎﾞ","ES07:ﾀｰﾎﾞPick","7",1,"10","2","作業指示サーバ","20201075259",0,"202010",75259,0,"1562780",2020/10/14 0:00:00,"0","作業指示サーバ","20201004044","1","202010",4044,0,1560349,2020/10/13 0:00:00," ","基幹サーバ","           ","1"," ",0,0,0,2015/01/26 0:00:00," ","MP5600","           ","1"," ",0,0,0,2015/01/26 0:00:00," ",0,"MS_C300C",,408,408,"          ","2","NEWPICK","0",2017/10/06 0:00:00,2020/10/14 0:00:00
"307278","003070","MTS2-2","ES03:新松島2-2","3",1,"10","2"," ","20201008159",1,"202010",8159,0,"1559646",2020/10/13 0:00:00,"0","PowerEdge4600","20180808970","1","201808",8970,0,1888544,2018/08/10 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ","MP5600","           ","1"," ",0,0,0,2016/04/22 0:00:00," ",0,"MS_C350N","122201",1018,1018,"          ","2","NEWPICK","0",2017/10/13 0:00:00,2020/10/13 0:00:00
"213304","002130","水漏れ","直行率:CAB水漏れ検査","2",1,"30","2"," ","20201002977",1,"202010",2977,0,"2867575",2020/10/13 0:00:00,"0","PowerEdge4600","20201000955","1","202010",955,0,2867747,2020/10/13 0:00:00," ","MP5600","           ","1"," ",0,0,0,2017/10/17 0:00:00," ","MP5600","           ","1"," ",0,0,0,2017/10/17 0:00:00," ",0,"MS_C350N","208001",97,97,"          ","1","設備制御","0",2017/10/17 0:00:00,2020/10/13 0:00:00
"201568","002010","ｼｰﾘﾝｸﾞ","MAF:後車箱ｼｰﾘﾝｸﾞ","1",1,"30","2"," ","20151002990",1,"202010",2990,0,"2868047",2020/10/13 0:00:00,"0","PowerEdge4600","20201002995","1","202010",2995,0,2867940,2020/10/13 0:00:00," ","MP5600","           ","1"," ",0,0,0,2017/10/27 0:00:00," ","MP5600","           ","1"," ",0,0,0,2017/10/27 0:00:00," ",0,"MS_C350N","201213",289,289,"          ","1","設備制御","0",2017/10/27 0:00:00,2020/10/13 0:00:00
